,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
563,The Humans,Imagitec Design,GameTek,Unreleased,Cancelled,"December 31, 1993",,,,1993-12-31,,,,,1993,12
564,Hungry Dinosaurs•Harapeko BakkaJP,Magical Company,Sunsoft,"October 19, 1994",Unreleased,"January 3, 1995",,1994-10-19,,1995-01-03,1994,10,,,1995,1
565,The Hunt for Red October,Riedel Software Productions,Hi Tech Expressions,"October 1, 1993","January 1, 1993",1993,,1993-10-01,1993-01-01,1993-01-01,1993,10,1993,1,1993,1
566,Hurricanes,Probe Entertainment,U.S. Gold,Unreleased,"December 31, 1994",1995,,,1994-12-31,1995-01-01,,,1994,12,1995,1
567,Hyper Battle Game: Zen Nihon GT Senshuken,C.P. Brain,Banpresto,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
568,Hyper Iria,TamTam,Banpresto,"October 13, 1995",Unreleased,Unreleased,,1995-10-13,,,1995,10,,,,
569,Hyper V-Ball•Super Volley IIJP,Video System,Video System (JP)MC O'River (NA)Ubisoft (EU),"December 25, 1992","June 1, 1994",1994,,1992-12-25,1994-06-01,1994-01-01,1992,12,1994,6,1994,1
570,HyperZone,HAL Laboratory,HAL Laboratory,"August 31, 1991","September 1, 1991",1992,,1991-08-31,1991-09-01,1992-01-01,1991,8,1991,9,1992,1
571,Idea no Hi,Office Koukan,Shouei,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
572,The Ignition Factor•Fire FightingJP,Jaleco,Jaleco,"November 1, 1994","January 1, 1995",Unreleased,,1994-11-01,1995-01-01,,1994,11,1995,1,,
573,Igo Club,,Hect,"January 26, 1996",Unreleased,Unreleased,,1996-01-26,,,1996,1,,,,
574,Ihatovo Monogatari,Hect,Hect,"March 5, 1993",Unreleased,Unreleased,,1993-03-05,,,1993,3,,,,
575,Illusion of Gaia•Illusion of TimeEU•Gaia GensoukiJP,Quintet,Enix (JP)Nintendo (NA/EU),"November 27, 1993","September 1, 1994","April 27, 1995",,1993-11-27,1994-09-01,1995-04-27,1993,11,1994,9,1995,4
576,Illvanian no Shiro,,Nippon Clary Business,"October 28, 1994",Unreleased,Unreleased,,1994-10-28,,,1994,10,,,,
577,Imperium•Kidou Soukou DaionJP,Jorudan,Vic Tokai,"December 14, 1992","November 1, 1992",Unreleased,,1992-12-14,1992-11-01,,1992,12,1992,11,,
578,Inazuma Serve da!! Super Beach Volley,,Virgin Interactive,"August 4, 1995",Unreleased,Unreleased,,1995-08-04,,,1995,8,,,,
579,Incantation,Titus Software,Titus Software,Unreleased,"December 1, 1996",1996,,,1996-12-01,1996-01-01,,,1996,12,1996,1
580,The Incredible Crash Dummies•The Incredible Crash Dummies: Slick Bouya no DaichousenJP,Gray Matter,LJN,"September 30, 1994","October 1, 1993",1993,,1994-09-30,1993-10-01,1993-01-01,1994,9,1993,10,1993,1
581,The Incredible Hulk,Probe Entertainment,U.S. Gold,Unreleased,"August 1, 1994",1993,,,1994-08-01,1993-01-01,,,1994,8,1993,1
582,Indiana Jones' Greatest Adventures,Factor 5,JVC Musical Industries / LucasArts,"October 11, 1994","October 11, 1994","July 27, 1995",,1994-10-11,1994-10-11,1995-07-27,1994,10,1994,10,1995,7
583,Inindo: Way of the Ninja•Super Inindo: Datou NobunagaJP,Koei,Koei,"March 19, 1993","March 1, 1993",Unreleased,,1993-03-19,1993-03-01,,1993,3,1993,3,,
584,Inspector Gadget,AIM,Hudson Soft,Unreleased,"December 1, 1993",Unreleased,,,1993-12-01,,,,1993,12,,
585,International Sensible Soccer: World Champions,Sensible Software,Renegade Software,Unreleased,Unreleased,1994,,,,1994-01-01,,,,,1994,1
586,International Superstar Soccer•Jikkyou World Soccer: Perfect ElevenJP,Konami,Konami,"November 11, 1994","June 1, 1995","May 23, 1995",,1994-11-11,1995-06-01,1995-05-23,1994,11,1995,6,1995,5
587,International Superstar Soccer Deluxe•Jikkyou World Soccer 2: Fighting ElevenJP,Konami,Konami,"September 22, 1995","November 1, 1995","January 25, 1996",,1995-09-22,1995-11-01,1996-01-25,1995,9,1995,11,1996,1
588,International Tennis Tour,Loriciel,Taito,"March 26, 1993","November 1, 1993",1993,,1993-03-26,1993-11-01,1993-01-01,1993,3,1993,11,1993,1
589,Ippatsu Gyakuten: Keiba Keirin Kyoutei,Electronics Application,Pow,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
590,The Irem Skins Game•The Irem Major TitleEU,Irem,Irem,"December 4, 1992","October 1, 1992",1993,,1992-12-04,1992-10-01,1993-01-01,1992,12,1992,10,1993,1
591,Iron Commando: Koutetsu no Senshi,Arcade Zone,Poppo,"February 10, 1995",Unreleased,Cancelled,,1995-02-10,,,1995,2,,,,
592,Isozuri: Ritou Hen,,Pack-In-Video,"January 19, 1996",Unreleased,Unreleased,,1996-01-19,,,1996,1,,,,
593,Itadaki Street 2: Neon Sign wa Bara Iro ni,Tomcat System,Enix,"February 26, 1994",Unreleased,Unreleased,,1994-02-26,,,1994,2,,,,
594,The Itchy & Scratchy Game,Bits Studios,Acclaim Entertainment,Unreleased,"March 1, 1995",1995,,,1995-03-01,1995-01-01,,,1995,3,1995,1
595,Itoi Shigesato no Bass Tsuri No. 1,HAL Laboratory,Nintendo,"February 21, 1997",Unreleased,Unreleased,,1997-02-21,,,1997,2,,,,
596,Itou Haka Rokudan no Shougi Doujou,,ASK,"February 4, 1994",Unreleased,Unreleased,,1994-02-04,,,1994,2,,,,
597,Izzy's Quest for the Olympic Rings,Alexandria,U.S. Gold,Unreleased,"November 1, 1995",1995,,,1995-11-01,1995-01-01,,,1995,11,1995,1
598,J.League '96 Dream Stadium,A.I.,Hudson Soft,"June 1, 1996",Unreleased,Unreleased,,1996-06-01,,,1996,6,,,,
599,J.League Excite Stage '95,A-Max,Epoch,"April 28, 1995",Unreleased,Unreleased,,1995-04-28,,,1995,4,,,,
600,J.League Excite Stage '96,A-Max,Epoch,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
601,J.League Soccer Prime Goal,Namco,Namco,"August 6, 1993",Unreleased,Unreleased,,1993-08-06,,,1993,8,,,,
602,J.League Soccer Prime Goal 2,,Namco,"August 5, 1994",Unreleased,Unreleased,,1994-08-05,,,1994,8,,,,
603,J.League Super Soccer '95 Jikkyou Stadium,A.I.,Hudson Soft,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
604,"J.R.R. Tolkien's The Lord of the Rings, Vol. I",Interplay Entertainment,Interplay Entertainment,Unreleased,October 1994,"May 23, 1995",,,1994-10-01,1995-05-23,,,1994,10,1995,5
605,Jack Nicklaus Golf,Leland Interactive Media,Tradewest,Unreleased,"May 15, 1992",1992,,,1992-05-15,1992-01-01,,,1992,5,1992,1
606,Jaki Crush,Compile,Naxat Soft,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
607,Jaleco Rally: Big Run: The Supreme 4WD Challenge,,Jaleco,"March 20, 1991",Cancelled,Unreleased,,1991-03-20,,,1991,3,,,,
608,James Bond Jr.,Gray Matter,THQ,Unreleased,"October 1, 1992",1992,,,1992-10-01,1992-01-01,,,1992,10,1992,1
609,James Pond 3: Operation Starfish,Millennium Interactive,Electronic Arts,Unreleased,Unreleased,1993,,,,1993-01-01,,,,,1993,1
610,Jammes,Mighty Craft,Carrozzeria,"February 10, 1995",Unreleased,Unreleased,,1995-02-10,,,1995,2,,,,
611,Jammit,GTE Interactive Media,GTE Interactive Media,Unreleased,November 1994,Unreleased,,,1994-11-01,,,,1994,11,,
612,Janyuuki Gokuu Randa,,Virgin Interactive,"January 13, 1995",Unreleased,Unreleased,,1995-01-13,,,1995,1,,,,
613,JB The Super Bass,Gaps,Naxat Soft,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
614,Jelly Boy,Probe Entertainment,Ocean Software,Unreleased,Cancelled,March 1995,,,,1995-03-01,,,,,1995,3
615,Jeopardy!,Imagineering,GameTek,Unreleased,"December 1, 1992",Unreleased,,,1992-12-01,,,,1992,12,,
616,Jeopardy! Deluxe Edition,,GameTek,Unreleased,June 1994,Unreleased,,,1994-06-01,,,,1994,6,,
617,Jeopardy! Sports Edition,,GameTek,Unreleased,May 1994,Unreleased,,,1994-05-01,,,,1994,5,,
618,The Jetsons: Invasion of the Planet Pirates•Youkai Buster: Ruka no DaiboukenJP,Sting Entertainment,Kadokawa Shoten (JP)Taito (NA),"June 9, 1995",June 1994,Unreleased,,1995-06-09,1994-06-01,,1995,6,1994,6,,
619,Jikkyou Keiba Simulation: Stable Star,KCEO,Konami,"March 22, 1996",Unreleased,Unreleased,,1996-03-22,,,1996,3,,,,
620,Jikkyou Oshaberi Parodius,KCEO,Konami,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
621,Jikkyou Power Pro Wrestling '96: Max Voltage,Diamond Head,Konami,"September 13, 1996",Unreleased,Unreleased,,1996-09-13,,,1996,9,,,,
622,Jikkyou Powerful Pro Yakyuu: Basic Han '98,Diamond Head,Konami,"March 19, 1998",Unreleased,Unreleased,,1998-03-19,,,1998,3,,,,
623,Jikkyou Powerful Pro Yakyuu '94,,Konami,"March 11, 1994",Cancelled,Unreleased,,1994-03-11,,,1994,3,,,,
624,Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han,Diamond Head,Konami,"July 19, 1996",Unreleased,Unreleased,,1996-07-19,,,1996,7,,,,
625,Jikkyou Powerful Pro Yakyuu 2,,Konami,"February 24, 1995",Unreleased,Unreleased,,1995-02-24,,,1995,2,,,,
626,Jikkyou Powerful Pro Yakyuu 3,Diamond Head,Konami,"February 29, 1996",Unreleased,Unreleased,,1996-02-29,,,1996,2,,,,
627,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,Diamond Head,Konami,"March 20, 1997",Unreleased,Unreleased,,1997-03-20,,,1997,3,,,,
628,Jim Lee's WildC.A.T.S: Covert Action Teams,Beam Software,Playmates Interactive,Unreleased,November 1995,Unreleased,,,1995-11-01,,,,1995,11,,
629,Jim Power: The Lost Dimension in 3-D,Loriciel,Electro Brain,Unreleased,"December 10, 1993",Unreleased,,,1993-12-10,,,,1993,12,,
630,Jimmy Connors Pro Tennis Tour,Blue Byte,Ubisoft,"October 29, 1993","December 1, 1992","October 27, 1994",,1993-10-29,1992-12-01,1994-10-27,1993,10,1992,12,1994,10
631,Jimmy Houston's Bass Tournament U.S.A.•Jissen! Bass Fishing Hisshouhou in USAJP,American Sammy,American Sammy,"August 25, 1995","November 1, 1995",Unreleased,,1995-08-25,1995-11-01,,1995,8,1995,11,,
632,Jirou Akagawa: Majotachi no Nemuri,Minato Giken,Pack-In-Video,"November 24, 1995",Unreleased,Unreleased,,1995-11-24,,,1995,11,,,,
633,Jissen Kyoutei,Aisystem Tokyo,Imagineer,"June 23, 1995",Unreleased,Unreleased,,1995-06-23,,,1995,6,,,,
634,Jissen Pachi-Slot Hisshouhou,,Sammy Corporation,"November 26, 1993",Unreleased,Unreleased,,1993-11-26,,,1993,11,,,,
635,Jissen Pachi-Slot Hisshouhou! 2,,Sammy Corporation,"September 16, 1994",Unreleased,Unreleased,,1994-09-16,,,1994,9,,,,
636,Jissen Pachi-Slot Hisshouhou! Classic,,Sammy Corporation,"July 7, 1995",Unreleased,Unreleased,,1995-07-07,,,1995,7,,,,
637,Jissen Pachi-Slot Hisshouhou! Twin,,Sammy Corporation,"March 15, 1997",Unreleased,Unreleased,,1997-03-15,,,1997,3,,,,
638,Jissen Pachi-Slot Hisshouhou! Twin Vol. 2,Tose,Sammy Corporation,"September 12, 1997",Unreleased,Unreleased,,1997-09-12,,,1997,9,,,,
639,Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu,,Sammy Corporation,"April 5, 1996",Unreleased,Unreleased,,1996-04-05,,,1996,4,,,,
640,Jissen Pachinko Hisshouhou! 2,,Sammy Corporation,"March 8, 1996",Unreleased,Unreleased,,1996-03-08,,,1996,3,,,,
641,Jissen! Mahjong Shinan,Syscom,ASK,"January 13, 1995",Unreleased,Unreleased,,1995-01-13,,,1995,1,,,,
642,Joe & Mac•Joe & Mac: Caveman NinjaEU•Joe & Mac: Tatakae GenshijinJP,Data East,Data East (JP/NA)Elite Systems (EU),"December 6, 1991","January 7, 1992",1992,,1991-12-06,1992-01-07,1992-01-01,1991,12,1992,1,1992,1
643,Joe & Mac 2: Lost in the Tropics•Joe & Mac 3: Lost in the TropicsEU•Tatakae Genshijin 3: Shuyaku wa Yappari Joe & MacJP,Data East,Data East (JP/NA)Elite Systems (EU),"February 18, 1994",April 1994,November 1995,,1994-02-18,1994-04-01,1995-11-01,1994,2,1994,4,1995,11
644,John Madden Football•Pro FootballJP,Park Place Productions,EA Sports,"January 17, 1992","November 1, 1991",Unreleased,,1992-01-17,1991-11-01,,1992,1,1991,11,,
645,John Madden Football '93•Pro Football '93JP,EA Canada,EA Sports,"February 12, 1993","November 21, 1992",1992,,1993-02-12,1992-11-21,1992-01-01,1993,2,1992,11,1992,1
646,JoJo no Kimyou na Bouken,Winkysoft,Cobra Team,"March 5, 1993",Unreleased,Unreleased,,1993-03-05,,,1993,3,,,,
647,Joushou Mahjong Tenpai,Game Arts,Enix,"September 29, 1995",Unreleased,Unreleased,,1995-09-29,,,1995,9,,,,
648,JRA PAT,NTT,NTT,1996,Unreleased,Unreleased,,1996-01-01,,,1996,1,,,,
649,JRA PAT: Wide Baken Taiyou,NTT,NTT,1999,Unreleased,Unreleased,,1999-01-01,,,1999,1,,,,
650,Judge Dredd,Probe Entertainment,Acclaim Entertainment,"October 27, 1995","June 16, 1995","August 24, 1995",,1995-10-27,1995-06-16,1995-08-24,1995,10,1995,6,1995,8
651,Jumpin' Derby,KID,Naxat Soft,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
652,The Jungle Book,Eurocom,Virgin Interactive,"July 15, 1994",August 1994,September 1994,,1994-07-15,1994-08-01,1994-09-01,1994,7,1994,8,1994,9
653,Jungle no Ouja Tar-chan: Sekai Man'yuu Dai Kakutou no Maki,Kuusou Kagaku,Bandai,"September 18, 1994",Unreleased,Unreleased,,1994-09-18,,,1994,9,,,,
654,Jungle Strike,Gremlin Interactive,Electronic Arts,"September 22, 1995",June 1995,1995,,1995-09-22,1995-06-01,1995-01-01,1995,9,1995,6,1995,1
655,Jungle Wars 2: Kodai Mahou Atimos no Nazo,Atelier Double,Pony Canyon,"March 19, 1993",Unreleased,Unreleased,,1993-03-19,,,1993,3,,,,
656,Jurassic Park,Ocean Software,Ocean Software,"June 24, 1994","November 30, 1993","December 29, 1993",,1994-06-24,1993-11-30,1993-12-29,1994,6,1993,11,1993,12
657,Jurassic Park 2: The Chaos Continues,Ocean Software,Ocean Software,Unreleased,January 1995,1995,,,1995-01-01,1995-01-01,,,1995,1,1995,1
658,Justice League Task Force,Blizzard Entertainment,Acclaim Entertainment / Sunsoft,"October 27, 1995",June 1995,July 1995,,1995-10-27,1995-06-01,1995-07-01,1995,10,1995,6,1995,7
659,Jutei Senki,Tam Tam,Enix,"August 27, 1993",Unreleased,Unreleased,,1993-08-27,,,1993,8,,,,
660,JWP Joshi Pro Wrestling: Pure Wrestle Queens,,Jaleco,"December 23, 1994",Unreleased,Unreleased,,1994-12-23,,,1994,12,,,,
661,Ka-Blooey•BombuzalJP,Kemco,Kemco,"December 1, 1990","August 31, 1992",Unreleased,,1990-12-01,1992-08-31,,1990,12,1992,8,,
662,Kabuki-chou Reach Mahjong: Toupuusen,Studio Softmov,Pony Canyon,"July 15, 1994",Unreleased,Unreleased,,1994-07-15,,,1994,7,,,,
663,Kabuki Rocks,Red Company,Atlus,"March 4, 1994",Unreleased,Unreleased,,1994-03-04,,,1994,3,,,,
664,Kachou Kousaku Shima: Super Business Adventure,Tom Create,Yutaka,"September 17, 1993",Unreleased,Unreleased,,1993-09-17,,,1993,9,,,,
665,Kakinoki Shougi,SAS Sakata,ASCII,"September 1, 1995",Unreleased,Unreleased,,1995-09-01,,,1995,9,,,,
666,Kamaitachi no Yoru,,Chunsoft,"November 25, 1994",Unreleased,Unreleased,,1994-11-25,,,1994,11,,,,
667,Kamen Rider,Sun L,Bandai,"November 12, 1993",Unreleased,Unreleased,,1993-11-12,,,1993,11,,,,
668,Kamen Rider SD: Shutsugeki!! Rider Machine,,Yutaka,"July 9, 1995",Unreleased,Unreleased,,1995-07-09,,,1995,7,,,,
669,Kat's Run: Zen-Nippon K Car Senshuken,Atlus,Atlus,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
670,Katou Ichi-Ni-San Kudan Shougi Club,Hect,Hect,"May 16, 1997",Unreleased,Unreleased,,1997-05-16,,,1997,5,,,,
671,Kawa no Nushi Tsuri 2,,Pack-In-Video,"April 28, 1995",Unreleased,Unreleased,,1995-04-28,,,1995,4,,,,
672,Kawasaki Caribbean Challenge,Park Place Productions,GameTek,Unreleased,June 1993,Unreleased,,,1993-06-01,,,,1993,6,,
673,Kawasaki Superbike Challenge,Domark,Time Warner Interactive,Unreleased,December 1995,1995,,,1995-12-01,1995-01-01,,,1995,12,1995,1
674,Keeper,Fupac,Bullet-Proof Software,"July 15, 1994",Cancelled,Unreleased,,1994-07-15,,,1994,7,,,,
675,Keiba Eight Special,C-Lab,Misawa,"December 10, 1993",Unreleased,Unreleased,,1993-12-10,,,1993,12,,,,
676,Keiba Eight Special 2,C-Lab,Imagineer,"September 30, 1994",Unreleased,Unreleased,,1994-09-30,,,1994,9,,,,
677,Keiba Yosou Baken Renkinjutsu,,KSS,"May 27, 1994",Unreleased,Unreleased,,1994-05-27,,,1994,5,,,,
678,Ken Griffey Jr. Presents Major League Baseball,Software Creations,Nintendo,Unreleased,"March 23, 1994",Unreleased,,,1994-03-23,,,,1994,3,,
679,Ken Griffey Jr.'s Winning Run,Rare,Nintendo,Unreleased,"June 10, 1996",Unreleased,,,1996-06-10,,,,1996,6,,
680,Kendo Rage•Makeruna! MakendouJP,SETA,SETA,"January 22, 1993",October 1993,Unreleased,,1993-01-22,1993-10-01,,1993,1,1993,10,,
681,Kenyuu Densetsu Yaiba,Atelier Double,Banpresto,"March 25, 1994",Unreleased,Unreleased,,1994-03-25,,,1994,3,,,,
682,Kero Kero Keroppi no Bōken Nikki: Nemureru Mori no Keroleen,,Character Soft,"March 25, 1994",Unreleased,Unreleased,,1994-03-25,,,1994,3,,,,
683,Kessen! Dokapon Okukoku IV: Densetsu no Yuusha Tachi,,Asmik Ace Entertainment,"December 10, 1993",Unreleased,Unreleased,,1993-12-10,,,1993,12,,,,
684,Kevin Keegan's Player Manager•K.H. Rummenigge's Player ManagerGER,Anco,Imagineer,Unreleased,Unreleased,1993,,,,1993-01-01,,,,,1993,1
685,Kick Off•Super Kick OffJP,Anco,Imagineer,"December 25, 1992",Unreleased,1993,,1992-12-25,,1993-01-01,1992,12,,,1993,1
686,Kick Off 3: European Challenge,Anco,Vic Tokai,Unreleased,Cancelled,1994,,,,1994-01-01,,,,,1994,1
687,Kid Klown in Crazy Chase,Kemco,Kemco,"October 21, 1994",September 1994,1995,,1994-10-21,1994-09-01,1995-01-01,1994,10,1994,9,1995,1
688,Kidou Butouden G-Gundam,Pandora Box,Bandai,"December 27, 1994",Unreleased,Unreleased,,1994-12-27,,,1994,12,,,,
689,Kidou Senshi Gundam: Cross Dimension 0079,,Bandai,"February 10, 1995",Unreleased,Unreleased,,1995-02-10,,,1995,2,,,,
690,Kidou Senshi Gundam F91: Formula Senki 0122,Nova Games,Bandai,"July 6, 1991",Unreleased,Unreleased,,1991-07-06,,,1991,7,,,,
691,Kidou Senshi V Gundam,Tose,Bandai,"March 11, 1994",Unreleased,Unreleased,,1994-03-11,,,1994,3,,,,
692,Kidou Senshi Z Gundam: Away to the NewType,,Bandai,"March 1, 1996",Unreleased,Unreleased,,1996-03-01,,,1996,3,,,,
693,Kidō Keisatsu Patlabor,Interbec,BEC,"April 22, 1994",Unreleased,Unreleased,,1994-04-22,,,1994,4,,,,
694,Kikuni Masahiko no Jantoushi Dora Ou,C-Lab,Planning Office Wada,"February 19, 1993",Unreleased,Unreleased,,1993-02-19,,,1993,2,,,,
695,Kikuni Masahiko no Jantoushi Dora Ou 2,,Planning Office Wada,"December 3, 1993",Unreleased,Unreleased,,1993-12-03,,,1993,12,,,,
696,Killer Instinct,Rare,Nintendo,Unreleased,"August 30, 1995",1995,,,1995-08-30,1995-01-01,,,1995,8,1995,1
697,Kindai Mahjong Special,Outback,Imagineer,"March 31, 1995",Unreleased,Unreleased,,1995-03-31,,,1995,3,,,,
698,King Arthur & the Knights of Justice,Manley & Associates,Enix,Unreleased,July 1995,Unreleased,,,1995-07-01,,,,1995,7,,
699,King Arthur's World•Royal ConquestJP,Argonaut Games,Jaleco,"November 27, 1994","September 4, 1994",1993,,1994-11-27,1994-09-04,1993-01-01,1994,11,1994,9,1993,1
700,The King of Dragons,Capcom,Capcom,"March 4, 1994",April 1994,August 1994,,1994-03-04,1994-04-01,1994-08-01,1994,3,1994,4,1994,8
701,King of the Monsters,Genki,Takara,"July 31, 1992","October 1, 1992",1992,,1992-07-31,1992-10-01,1992-01-01,1992,7,1992,10,1992,1
702,King of the Monsters 2,Now Production/Winds,Takara,"December 22, 1993","June 1, 1994",Unreleased,,1993-12-22,1994-06-01,,1993,12,1994,6,,
703,The King of Rally,KAZe,Meldac,"December 28, 1992",Cancelled,Unreleased,,1992-12-28,,,1992,12,,,,
704,Kingyo Chuuihou! Tobidase Game Gakuen,,Jaleco,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
705,Kinnikuman: Dirty Challenger,,Yutaka,"August 21, 1992",Unreleased,Unreleased,,1992-08-21,,,1992,8,,,,
706,Kirby no Kirakira Kizzu,HAL Laboratory,Nintendo,"June 25, 1999",Unreleased,Unreleased,,1999-06-25,,,1999,6,,,,
707,Kirby Super Star•Kirby's Fun PakEU•Hoshi no Kirby Super DeluxeJP,HAL Laboratory,Nintendo,"March 21, 1996","September 20, 1996","January 23, 1997",,1996-03-21,1996-09-20,1997-01-23,1996,3,1996,9,1997,1
708,Kirby's Avalanche•Kirby's Ghost TrapEU,Compile/HAL Laboratory,Nintendo,Unreleased,"April 25, 1995","February 1, 1995",,,1995-04-25,1995-02-01,,,1995,4,1995,2
709,Kirby's Dream Course•Kirby BowlJP,HAL Laboratory,Nintendo,"September 21, 1994","February 28, 1995","August 24, 1995",,1994-09-21,1995-02-28,1995-08-24,1994,9,1995,2,1995,8
710,Kirby's Dream Land 3•Hoshi no Kirby 3JP,HAL Laboratory,Nintendo,"March 27, 1998","November 27, 1997",Unreleased,,1998-03-27,1997-11-27,,1998,3,1997,11,,
711,Kishin Douji Zenki: Batoru Raiden,CAProduction,Hudson Soft,"August 4, 1995",Unreleased,Unreleased,,1995-08-04,,,1995,8,,,,
712,Kishin Douji Zenki: Denei Raibu,Now Production,Hudson Soft,"November 24, 1995",Unreleased,Unreleased,,1995-11-24,,,1995,11,,,,
713,Kishin Douji Zenki: Tenchi Meidou,,Hudson Soft,"February 23, 1996",Unreleased,Unreleased,,1996-02-23,,,1996,2,,,,
714,Kishin Korinden Oni,Pandora's Box,Banpresto,"August 5, 1994",Unreleased,Unreleased,,1994-08-05,,,1994,8,,,,
715,Kiteretsu Daihyakka: Choujikuu Sugoroku,Video System,Video System,"January 27, 1995",Unreleased,Unreleased,,1995-01-27,,,1995,1,,,,
716,Knights of the Round,Capcom,Capcom,"June 10, 1994",April 1994,Unreleased,,1994-06-10,1994-04-01,,1994,6,1994,4,,
717,Konpeki no Kantai,Access,Angel,"November 2, 1995",Unreleased,Unreleased,,1995-11-02,,,1995,11,,,,
718,Kouryaku Casino Bar,Nichibutsu,Nichibutsu,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
719,Kouryuu Densetsu Villgust,Winkysoft,Bandai,"May 23, 1992",Unreleased,Unreleased,,1992-05-23,,,1992,5,,,,
720,Kouryuu no Mimi,VAP,VAP,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
721,Koushien 2,Affect,K Amusement Leasing,"June 26, 1992",Unreleased,Unreleased,,1992-06-26,,,1992,6,,,,
722,Koushien 3,Magical Company,Magical Company,"July 29, 1994",Unreleased,Unreleased,,1994-07-29,,,1994,7,,,,
723,Koushien 4,Magical Company,Magical Company,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
724,Kousoku Shikou: Shougi Ou,Access,Imagineer,"March 24, 1995",Unreleased,Unreleased,,1995-03-24,,,1995,3,,,,
725,Koutetsu no Kishi,Dual,"Asmik Ace Entertainment, Inc","February 19, 1993",Unreleased,Unreleased,,1993-02-19,,,1993,2,,,,
726,Koutetsu no Kishi 2: Sabaku no Rommel Shougun,Dual,"Asmik Ace Entertainment, Inc","January 28, 1994",Unreleased,Unreleased,,1994-01-28,,,1994,1,,,,
